,predicted_mean
292,50.08653234670312
293,49.87731093654492
294,49.67095636026081
295,49.67095636026081
296,49.67095636026081
297,49.67095636026081
298,49.67095636026081
299,49.67095636026081
300,49.67095636026081
301,49.67095636026081
302,49.67095636026081
303,49.67095636026081
304,49.67095636026081
305,49.67095636026081
306,49.67095636026081
307,49.67095636026081
308,49.67095636026081
309,49.67095636026081
310,49.67095636026081
311,49.67095636026081
312,49.67095636026081
313,49.67095636026081
314,49.67095636026081
315,49.67095636026081
316,49.67095636026081
317,49.67095636026081
318,49.67095636026081
319,49.67095636026081
320,49.67095636026081
321,49.67095636026081
322,49.67095636026081
323,49.67095636026081
324,49.67095636026081
325,49.67095636026081
326,49.67095636026081
327,49.67095636026081
328,49.67095636026081
329,49.67095636026081
330,49.67095636026081
331,49.67095636026081
332,49.67095636026081
333,49.67095636026081
334,49.67095636026081
335,49.67095636026081
336,49.67095636026081
337,49.67095636026081
338,49.67095636026081
339,49.67095636026081
340,49.67095636026081
341,49.67095636026081
342,49.67095636026081
343,49.67095636026081
344,49.67095636026081
345,49.67095636026081
346,49.67095636026081
347,49.67095636026081
348,49.67095636026081
349,49.67095636026081
350,49.67095636026081
351,49.67095636026081
352,49.67095636026081
353,49.67095636026081
354,49.67095636026081
355,49.67095636026081
356,49.67095636026081
357,49.67095636026081
358,49.67095636026081
359,49.67095636026081
360,49.67095636026081
361,49.67095636026081
362,49.67095636026081
363,49.67095636026081
364,49.67095636026081
365,49.67095636026081
366,49.67095636026081
367,49.67095636026081
368,49.67095636026081
369,49.67095636026081
370,49.67095636026081
371,49.67095636026081
372,49.67095636026081
373,49.67095636026081
374,49.67095636026081
375,49.67095636026081
376,49.67095636026081
377,49.67095636026081
378,49.67095636026081
379,49.67095636026081
380,49.67095636026081
381,49.67095636026081
382,49.67095636026081
383,49.67095636026081
384,49.67095636026081
385,49.67095636026081
386,49.67095636026081
387,49.67095636026081
388,49.67095636026081
389,49.67095636026081
390,49.67095636026081
391,49.67095636026081
392,49.67095636026081
393,49.67095636026081
394,49.67095636026081
395,49.67095636026081
396,49.67095636026081
397,49.67095636026081
398,49.67095636026081
399,49.67095636026081
400,49.67095636026081
401,49.67095636026081
402,49.67095636026081
403,49.67095636026081
404,49.67095636026081
405,49.67095636026081
406,49.67095636026081
407,49.67095636026081
408,49.67095636026081
409,49.67095636026081
410,49.67095636026081
411,49.67095636026081
412,49.67095636026081
413,49.67095636026081
414,49.67095636026081
415,49.67095636026081
416,49.67095636026081
417,49.67095636026081
418,49.67095636026081
419,49.67095636026081
420,49.67095636026081
